Date,Symbol,Strategy,Action,Price,Quantity,Balance,Portfolio_Value,Upper_Band,Lower_Band,BB_Position,Profit_Loss,Cumulative_Return
2024-01-01,ADA/USDT,Bollinger Bands,HOLD,0.4850,0.0000,1000.00,1000.00,0.5120,0.4580,0.54,0.00,0.00%
2024-01-02,ADA/USDT,Bollinger Bands,BUY,0.4620,2164.50,1000.00,1000.00,0.5080,0.4540,0.18,0.00,0.00%
2024-01-03,ADA/USDT,Bollinger Bands,HOLD,0.4780,2164.50,1000.00,1034.64,0.5040,0.4500,0.62,34.64,3.46%
2024-01-04,ADA/USDT,Bollinger Bands,HOLD,0.4920,2164.50,1000.00,1064.94,0.5100,0.4560,0.80,64.94,6.49%
2024-01-05,ADA/USDT,Bollinger Bands,SELL,0.5080,2164.50,1099.60,1099.60,0.5160,0.4620,0.92,99.60,9.96%
2024-01-08,ADA/USDT,Bollinger Bands,HOLD,0.5140,0.0000,1099.60,1099.60,0.5220,0.4680,0.92,99.60,9.96%
2024-01-09,ADA/USDT,Bollinger Bands,HOLD,0.5020,0.0000,1099.60,1099.60,0.5180,0.4640,0.76,99.60,9.96%
2024-01-10,ADA/USDT,Bollinger Bands,HOLD,0.4880,0.0000,1099.60,1099.60,0.5140,0.4600,0.56,99.60,9.96%
2024-01-11,ADA/USDT,Bollinger Bands,BUY,0.4740,2319.41,1099.60,1099.60,0.5100,0.4560,0.36,99.60,9.96%
2024-01-12,ADA/USDT,Bollinger Bands,HOLD,0.4860,2319.41,1099.60,1127.44,0.5060,0.4520,0.68,127.44,12.74%
2024-01-15,ADA/USDT,Bollinger Bands,HOLD,0.4980,2319.41,1099.60,1155.28,0.5120,0.4580,0.80,155.28,15.53%
2024-01-16,ADA/USDT,Bollinger Bands,SELL,0.5120,2319.41,1187.74,1187.74,0.5180,0.4640,0.96,187.74,18.77%
2024-01-17,ADA/USDT,Bollinger Bands,HOLD,0.5080,0.0000,1187.74,1187.74,0.5140,0.4600,0.96,187.74,18.77%
2024-01-18,ADA/USDT,Bollinger Bands,HOLD,0.4940,0.0000,1187.74,1187.74,0.5100,0.4560,0.76,187.74,18.77%
2024-01-19,ADA/USDT,Bollinger Bands,HOLD,0.4820,0.0000,1187.74,1187.74,0.5060,0.4520,0.60,187.74,18.77%
2024-01-22,ADA/USDT,Bollinger Bands,BUY,0.4680,2538.33,1187.74,1187.74,0.5020,0.4480,0.40,187.74,18.77%
2024-01-23,ADA/USDT,Bollinger Bands,HOLD,0.4820,2538.33,1187.74,1223.26,0.4980,0.4440,0.76,223.26,22.33%
2024-01-24,ADA/USDT,Bollinger Bands,HOLD,0.4960,2538.33,1187.74,1258.78,0.5040,0.4500,0.92,258.78,25.88%
2024-01-25,ADA/USDT,Bollinger Bands,SELL,0.5100,2538.33,1294.75,1294.75,0.5100,0.4560,1.00,294.75,29.48%
2024-01-26,ADA/USDT,Bollinger Bands,HOLD,0.5060,0.0000,1294.75,1294.75,0.5060,0.4520,1.00,294.75,29.48%
